	key	val
383	Q6PKG0_tran	LARP1
384	Q15417_tran	CNN3
385	P27105_tran	STOM
386	Q13616_tran	CUL1
387	P53621_tran	COPA
388	Q00341_tran	HDLBP
389	P55884_tran	EIF3B
390	P06737_tran	PYGL
391	Q9BUP3_tran	HTATIP2
392	Q15014_tran	MORF4L2
393	O14521_tran	SDHD
394	Q14432_tran	PDE3A
395	P04843_tran	RPN1
396	P45974_tran	USP5
397	P23258_tran	TUBG1
398	Q15043_tran	SLC39A14
399	Q08209_tran	PPP3CA
400	P16422_tran	EPCAM
401	P09668_tran	CTSH
402	P09493_tran	TPM1
403	P61604_tran	HSPE1
404	P11717_tran	IGF2R
405	P51571_tran	SSR4
406	P62241_tran	RPS8
407	P33316_tran	DUT
408	Q92626_tran	PXDN
409	P00167_tran	CYB5A
410	P55010_tran	EIF5
411	O00762_tran	UBE2C
412	O94760_tran	DDAH1
413	P40925_tran	MDH1
414	Q99615_tran	DNAJC7
415	P07910_tran	HNRNPC
416	Q9Y4P3_tran	TBL2
417	O60884_tran	DNAJA2
418	P40429_tran	RPL13A
419	Q8WWM7_tran	ATXN2L
420	O96000_tran	NDUFB10
421	P55036_tran	PSMD4
422	P13674_tran	P4HA1
423	P62333_tran	PSMC6
424	P30536_tran	TSPO
425	Q15382_tran	RHEB
426	P49792_tran	RANBP2
427	Q70UQ0_tran	IKBIP
428	Q9UNS2_tran	COPS3
429	Q9UKV3_tran	ACIN1
430	Q9H223_tran	EHD4
431	Q9NP97_tran	DYNLRB1
432	Q13263_tran	TRIM28
433	O15533_tran	TAPBP
434	P98179_tran	RBM3
435	P20042_tran	EIF2S2
436	Q8TEM1_tran	NUP210
437	Q6NUK1_tran	SLC25A24
438	Q07020_tran	RPL18
439	P61254_tran	RPL26
440	P53597_tran	SUCLG1
441	Q13242_tran	SRSF9
442	P13667_tran	PDIA4
443	Q16832_tran	DDR2
444	Q12797_tran	ASPH
445	P46108_tran	CRK
446	Q9GZZ1_tran	NAA50
447	Q96M27_tran	PRRC1
448	Q9H910_tran	HN1L_ JPT2
449	P49207_tran	RPL34
450	P49419_tran	ALDH7A1
451	P07437_tran	TUBB
452	Q9UQE7_tran	SMC3
453	P17174_tran	GOT1
454	P31943_tran	HNRNPH1
455	P28072_tran	PSMB6
456	P55084_tran	HADHB
457	P15586_tran	GNS
458	Q9NVA1_tran	UQCC_ UQCC1
459	Q13126_tran	MTAP
460	P36542_tran	ATP5C1
461	Q86UP2_tran	KTN1
462	Q13228_tran	SELENBP1
463	Q99623_tran	PHB2
464	P43308_tran	SSR2
465	P51397_tran	DAP
466	P21980_tran	TGM2
467	P52788_tran	SMS
468	P35606_tran	COPB2
469	Q9NYU2_tran	UGGT1
470	Q96S97_tran_tran	MYADM
471	P52597_tran	HNRNPF
472	P21281_tran	ATP6V1B2
473	P56537_tran	EIF6
474	Q9NVI7_tran	ATAD3A
475	Q15054_tran	POLD3
476	P78417_tran	GSTO1
477	Q6FI81_tran	CIAPIN1
478	Q8IYB3_tran	SRRM1
479	Q14444_tran	CAPRIN1
480	P53618_tran	COPB1
481	Q9H444_tran	CHMP4B
482	O15067_tran	PFAS
483	Q9NZ01_tran_tran	TECR
484	Q9ULX6_tran	AKAP8L
485	Q86V81_tran	ALYREF
486	P24752_tran	ACAT1
487	Q9NTK5_tran	OLA1
488	O00303_tran	EIF3F
489	Q9Y450_tran	HBS1L
490	Q9NX40_tran	OCIAD1
491	P62081_tran	RPS7
492	P62899_tran	RPL31
493	P62244_tran	RPS15A
494	P68402_tran	PAFAH1B2
495	P51610_tran	HCFC1
496	Q86TG7_tran	PEG10
497	Q8NE71_tran	ABCF1
498	O95379_tran	TNFAIP8
499	P84098_tran	RPL19
500	Q8NEY8_tran	PPHLN1
501	Q9BRR6_tran	ADPGK
502	P08962_tran	CD63
503	Q8TB61_tran	SLC35B2
504	O00151_tran	PDLIM1
505	P27708_tran	CAD
506	P14314_tran	PRKCSH
507	P13693_tran	TPT1
508	Q86VP6_tran	CAND1
509	Q13148_tran	TARDBP
510	Q5SSJ5_tran	HP1BP3
511	O43169_tran	CYB5B
512	Q13283_tran	G3BP1
513	O95361_tran	TRIM16
514	P22307_tran	SCP2
515	Q9BVQ7_tran	SPATA5L1
