Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
USO1	-0.232759774761462	-0.842261024208762	-0.115742229756114	-0.740048067402532	-0.594311329969285	2.26020250913384	-0.172019534721774	-0.0528791424464742	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0452111625655668
ECI2	-0.267306766914235	0.16101426897218	-0.939422321951805	-0.0721639352346776	0.582235869506262	2.07530229689996	-0.219875323484189	-1.07587925950309	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0451655731625104
APOE	0.199795682631773	1.45685315277048	0.495991456770122	0.47549061533721	-0.669056401751652	-2.40731108890337	0.229870909440029	0.0863629323048944	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	0.0451172217542038
VDAC2	-0.154751994778149	-0.112500056342962	-0.873331957349545	0.0532762990802496	-0.301290158614474	2.90426942202027	-0.551742981917248	-0.238027678843189	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0451075348790775
SF3A1	0.53040219478896	-0.0628919860523953	-0.801713983072883	-0.904021614473916	-0.450259455105494	2.49262596390992	-0.325013258363448	-0.207305890477844	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0449512650115138
RHEB	-0.952491445891885	-0.423188076164763	-0.016329230643934	-0.464232021112832	-0.277291121671173	2.20330792284682	0.549375399778651	-0.489641657890706	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0448915089403506
KHSRP	0.243377349997842	-0.0138158846708853	-0.418747463617459	-0.43948233305536	-0.714280271311101	2.613819031406	-0.439217691169334	-0.462987328361736	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0448725639211911
EXOSC2	-0.445848353123397	0.338036209352532	-0.590172045148955	-0.125071146555233	-0.340625179825344	2.09706557793086	-0.00261784039471121	-0.822692815243652	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0448517723116108
PIR	0.0259798751199215	-0.670944817898302	-0.511369083510321	-0.628842411599198	0.42929626878004	2.31597370118014	0.183904921748834	-1.17206997433319	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0448088371655996
C20orf27	-0.335554253919633	-0.172541839006583	-0.53030187960683	-0.646899510925372	0.416709571816504	2.32422234389886	-0.886943670353288	0.110390916814573	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0446765171278071
BRK1	0.26561969254018	-0.199812887818523	-0.895677627303761	-0.114893932451633	-0.510797667217087	2.04292591640482	-0.56120134452161	-0.422790774219258	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0446181022442777
TRIM16	-0.0514145294653005	-0.313619904548139	0.032889403843508	-0.392192878904702	-0.683988113171451	2.36315001290512	-0.628270968793126	-0.415968396702958	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0446166386675714
DPM1	-0.684859567217505	-0.521870097768049	-0.288519765455123	-0.222922263986586	0.11439103948705	2.38704605610391	-0.749216131738921	-0.037612756278924	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0445479507168084
UQCRC2	-0.502857185279641	0.355660115435446	-0.322977825039071	-0.290111851760678	-0.591811013706702	2.28990376058707	-0.0307394423618994	-0.284251718598486	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0445339518710382
AFP	-0.00342092356694915	0.0786027273807858	0.748955012792079	1.01285700629153	-0.0172051001003537	-2.17036350625011	0.33509984598233	0.439120341547571	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.044467611119688
LGALS3BP	0.0945746339268347	0.82104273654612	0.881670552652235	0.0391880222305982	-0.542360843648134	-2.51778418892716	0.554644099105698	0.451219900883969	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_2h	#C2C2C2	0.0444374767135554
NDUFV1	0.0679127549975219	-0.988689143425652	-0.472994828568785	-0.244460479133512	-0.393219179652173	1.9577158909851	-0.98153117162906	0.269437420104486	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0444186259010308
CDH1	-0.233217736509995	1.12527567340787	0.842500345678721	0.392795383859249	-0.757841570393081	-2.247715378128	0.375681381948358	0.356425138919966	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	0.0443428823993791
DSP	0.146464811551923	1.01167053565905	0.75225145167209	0.081246739785818	-0.728893004461929	-1.82005611161407	1.13013565214453	0.0990452809647695	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Virus_2h	black	0.0442933163121609
UBL5	0.00498325596586573	0.934104917809543	0.666314802253103	0.507795811970289	-0.549045126893062	-1.99532780234491	0.140687423445348	0.109812733375744	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	0.0442822640199497
HLA.A_LOC100507703	0.0813024480407971	-0.00629032190856632	0.953681148793558	0.475661952549278	-0.580556038974091	-1.95744980868348	0.689091767517859	0.0378850536327306	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_2h	#C2C2C2	0.0441962806231803
PYCR2	-0.338779758582914	-0.537382655608785	-0.115872667325129	-0.00864955353127899	0.0720267417214803	2.11172822391108	-0.548242342676463	-0.256774517873477	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0441336332580337
PAPOLA	0.0987575866870381	-0.0438405523077834	-0.386212904614088	0.0625610081197182	-0.0135430129413929	2.32774008031701	-0.713621884993448	-0.603705153999866	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0441169488272594
POLR1C	-0.432242018955907	-0.259964065596649	-0.654300308722662	0.115207112700587	-0.405868579707442	2.48238041207757	-0.984211372695994	0.168528433222256	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0440531176045162
TMCO1	0.0181627745744916	0.766707207418455	0.360574083364283	1.28122841708737	-0.506551718861542	-2.0594820187479	0.221711602584716	0.575616235427658	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.0439692048862118
SERPINA1	0.892039103371668	0.36074021961474	-0.151358945139523	1.05102290531744	-0.18982310386042	-1.9344497907601	-0.283673067366879	0.348361698990768	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.0438188490948696
USP5	0.364489653170989	0.172904228111686	-0.432436809291661	-0.306591322429547	-0.470071315146043	2.64171160713437	-0.848075748403886	-0.297191872303238	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.043794934080906
PSAP	0.389610197681588	0.526598576522174	0.779800840533093	0.99961803893983	-0.942048152649715	-1.85459568486346	0.535262118819821	0.0618491081583431	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.0437205347037381
HNRNPAB	-0.0390203555294631	-0.415439646435549	-0.494793870489044	-0.146374099958142	-0.0886627480335595	1.80802028138534	-0.376078777164594	-0.22474784900947	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0436806913821762
SMARCE1	-0.219331343912307	-0.74700443331023	-0.203136293406764	-0.409253554756819	-0.376617283857061	2.27575019418659	-0.184794228505432	-0.52624656154924	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0436604290544758
DAB2	0.412486999916367	-0.778932683727028	-0.156800635927627	-0.526308435675652	-0.773261965660352	2.03128376445333	-0.602697445930925	0.0602793843421639	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0435862092605206
SF3A2	-0.675971948329114	0.235937833723543	-0.748058488076046	-0.241029049971868	-0.331146330761627	2.43960641574538	0.278195419005568	-0.480036609948008	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0435846298520615
TMED10	0.0933954866663074	-0.443382363556022	0.0320812828934703	-0.218960504502889	-1.14081738307712	2.60372620189153	-0.218037398729117	-0.329665275583581	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0435679613176493
CSTB	0.0276878666302459	-0.0143497157517445	-0.435889088286731	-0.00315110976196867	-0.280250011433337	2.46202063075219	-0.820148219177206	-0.549281975524884	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0435327413903787
RPS8	0.753213515028086	-0.928009334301291	-0.235434914107664	-0.443197326830433	-0.02606126469499	2.44370366184241	-0.976918488621442	-0.00892981466437149	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.043492727103266
HOOK3	-0.110988704086488	0.230963462565466	-1.19971592222586	-0.63762557195042	0.489272888945298	2.10905479370497	-0.559492440139541	-0.453162012560058	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0434817754147807
