Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
O60506	-0.920813398529736	-0.799588087671638	0.390286256879129	-0.347312292764139	-0.018137617036324	2.16630004184375	-0.377133572398664	-0.502814548917466	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0751219327377685
P46060	-0.735897034894829	0.0308947115778949	0.155671190121839	-0.846031066508842	-0.0468160660702485	2.4670904329759	-0.216518949766859	-0.498456297634918	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0656522814070741
O43291	0.641976617481209	-0.17020634382996	0.67202890408923	0.439896096953637	0.536556767872011	-2.48150974246041	0.655316939446322	0.0893701490164619	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_2h	#C2C2C2	0.0625464722416899
Q8WVM7	-0.250386495811498	-0.354846157530591	-0.257106265786784	-0.296764531805889	-0.173554131031728	1.87221400542702	-0.298007580040055	-0.263254798365269	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0579926897601831
P05787	-0.284649615583392	-0.760468582767483	-0.526158296395197	0.0849496549032124	0.137083192363226	2.30594645682991	-0.681906875128378	-0.467752280291006	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0577103286718935
P46934_Q96PU5	0.17627914472862	0.944820070437438	-0.175397367031941	0.540355980581565	0.379902182290277	-2.43018151372806	0.580605884153322	0.265123241144929	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	0.0510086080117119
Q9UPN7	-0.553217229541784	-0.341007237141439	-0.363757084807102	-0.480227892010338	-0.151474871859808	2.99434377499565	-0.422012643195269	-0.456634049770559	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0428994269739527
P60709_P0CG38	-0.343267482200465	-0.498916459995207	-0.0659584765489298	-0.402028397950231	-0.575453287473281	2.28086051138706	-0.310420347269426	-0.581335011501145	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0395782842818575
Q9BZL1	1.00494061696582	0.507941533065136	0.0821331849576243	0.198689665557958	0.381402605951851	-2.46632731594104	-0.183994666063357	0.322158804517528	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.0381998463618564
P05783	-0.0346403314461796	-0.745463514072253	-0.510757974990692	0.0556204616801259	0.0468937612698828	2.21490842580831	-0.84396387373801	-0.560833402444576	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0369074421209293
Q01105	-0.572463379801287	-0.560900513282014	0.256933500631453	-0.437531134193893	0.15286731919903	2.07470217781002	-0.454890326684702	-0.285507686056089	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.033006649067864
O43169	-0.623656746239484	-0.387721829838417	0.0353317003513672	-0.396130023373143	-0.414115718401811	2.25912942706518	-0.458950684839341	-0.585127158977536	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0311499133700799
P11021	-0.262336238751836	-0.474527174489026	-0.709230170651743	-0.648882717660004	0.424681211442751	2.22178814734662	-0.687870473752409	0.000972485003217451	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.030080776319868
P30405	-0.362099413553014	-0.584536414953269	-0.265982849285073	0.0497822954952452	-0.17148613610556	2.49778844351149	-0.608520431586008	-0.601624867737503	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0254325909915042
Q14573	-0.661185855734088	-0.155763505979866	-0.442068935457566	-0.456840847402232	0.245615364480379	2.26829862004532	-0.231024740966659	-0.583103046966264	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0199036812876483
H.INV.HIT000292931_P05787	-0.146967908958769	-0.947618583634604	-0.543612218443922	-0.0170753975053234	-0.104416628921251	2.28380387768352	-0.773259484262758	-0.429780813588208	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0173727984676386
P84243	0.212471928169283	-0.226122930013413	0.869736971583746	0.968115785713674	-0.0487069244259918	-2.39407170800011	0.524937802601986	0.486593541480986	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.0171714681260818
Q9H9B4	-0.392799717879203	-0.309411075512486	-0.422666498339097	-0.494655864359036	-0.00657955446445719	2.41898094503732	0.0387101164060363	-0.603949329832778	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.011188917504954
Q06481_P05067	0.136446525774361	0.531105278191587	0.785087346782107	0.665773466100137	-0.602789435301671	-2.32445863945581	0.497648496408279	0.264812241315742	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_2h	#C2C2C2	0.00734604150902984
