Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
O60313	-0.213968367644956	-0.0353280545721416	-0.322693018601355	-0.734297746219455	-0.675549873043347	-0.114049243294095	2.38261552723849	0.330421182990141	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Virus_2h	black	-0.44677347878868
O75494	-0.0853444193368419	0.330314726305599	-1.10618507387932	-0.540849640203446	-1.06683129754122	1.24264700789661	1.86808557844212	-0.384792146353557	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Virus_2h	black	-0.158292342321511
Q8N6R0	0.0844095082147845	-0.00989065752565742	-0.594311598618024	-0.0475298055107281	-0.787507888405902	-0.458400414677442	2.18012816945887	0.117312858944667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Virus_2h	black	-0.0808349796620838
P62273	-0.108779287803614	-0.56874804857356	-0.594548848176358	-0.482749298673542	-0.200884184436223	-0.0821803566261934	0.17614061268936	1.63424672944878	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.67402318732473
P06280	-0.821283220962039	0.350647484413134	-1.02051686714391	1.10787811788091	-0.0318627092342803	-0.539263591382858	-0.250442678357289	1.3884502324758	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.508060052502814
P00480	-0.569640346887405	0.950754391991782	-0.787338665236526	0.460976030101511	-1.48297861063617	-0.396407467676484	0.0460361420147119	1.26578989768708	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.362038162860253
O95573	-0.387648111998131	1.01695439169735	0.289999481509511	-0.998290758197728	-1.40262597010899	-0.562907547864375	0.0653520399213602	1.70943821022582	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.316902831643242
Q9Y2W1	0.250428934933134	0.0845641890873121	-0.787839484861915	-1.29313432209788	-1.3325012108903	0.832662220669373	-0.235184694073214	1.22797086394378	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.170276409134537
Q86Y07	0.302070827870914	-0.595904441455929	-1.23237694516283	0.784319234792869	-0.341504771516917	0.121117693981397	0.152771993366449	1.65540392138905	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.102516660460665
Q9Y2R9	0.30610967813894	-0.489567305158467	-0.4947995698854	-0.0827223435667794	-0.0656675131309154	-0.510160154849386	-0.096224467350145	0.732813110207476	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.0855778958665771
Q9Y2B0	0.214992608693837	1.22567651178654	-1.01636504879619	-0.762108683189589	-0.333154841153836	-0.576855608404387	0.57955893182414	1.23746347740825	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.0776743559719576
Q9UHR5	-0.46393883379637	-0.520034833143808	-0.293494629960861	0.476770650186552	-0.167124748179269	1.33480589045671	-0.255320088439531	1.04344076360055	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	0.0431826939216397
P61962	-0.572249811649753	0.0605024584121015	0.0106937150690546	-1.10971008665677	0.242129267394184	1.55690783381483	-1.16993499072836	1.08875387394869	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	0.0366516283133449
P32004	-0.343513968274044	0.430819552719056	-0.484277404784506	0.273104392127426	1.03558673945997	1.25140484349736	0.126644349173393	-0.209461241721174	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	0.686263183548004
P49792	0.3737782587929	0.547665495102032	-0.589016334705292	-0.647630387355116	-0.466501927947941	-0.641082182828976	-0.526862910491609	1.42303711649316	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	-0.643908651298932
Q14166	-0.421315799817509	-0.127842516874231	-0.492265926984899	-0.461112739470568	0.951018647350236	0.55512261182534	-0.12138317431397	0.34948874341889	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Virus_10h	#CC79A7	0.277472212650308
A6NHR9	0.0446012802143498	1.00089264830427	-0.232972534318065	1.13757773722984	-0.122750075937474	0.444189592392497	-1.57206342201124	-0.0682558910920408	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.181948977574388
P20340	-0.24396492530228	0.277026300529861	-0.755601721451764	0.979735123074281	0.326169757938102	1.17501381512839	-0.426604846814326	-0.462290106405071	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	0.0657893035038781
