	2,3-diP-glyceric Acid To	2,3-dihydroxyisovaleric 	2-hydroxy-3-methylbutryi	2-methylcitric Acid	2P Glyceric and 3P Glyce	3-Deoxy-2-keto-6P-glucon	6P Gluconic Acid	ADP Total	AMP Total	ATP Total	Butyric Acid	Cis-Aconitic Acid	Citraconic and Itaconic 	Citric Acid	Cyclic AMP	Erythrose 4P	Fructose 1,6-bisP	Fructose 6P	Fumaric Acid	GDP Total	GMP Total	GTP Total	Galactose 1P	Gluconic Acid	Glucosamine 1P	Glucose 1P and Mannose 1	Glucose 6P	Glyceric Acid	Glycerol 3P	Isocitric Acid	Malic Acid	Mannose 6P	Mevalonic acid	Phosphoenolpyruvic Acid	Pyruvic and Oxaloacetic 	Sedoheptulose 7P	Succinic Acid Total	Trans-Aconitic Acid	Xylonic Acid Total
C17	15.5980525001616	13.0396045179538	19.4873847243858	15.5537492735448	17.8905967882679	10.0633950812885	13.5386739530827	18.145693374677	16.3250946015525	16.733968609439	18.110442527494	15.2022769030434	15.4735789248608	23.429819436852	12.661778097772	10.4512111118323	9.87805091272854	12.996120363033	13.655083445198	15.7072512710632	14.8336807486547	13.1689854409787	12.7270695580237	17.616835975841	11.1674181458317	13.5142209093581	14.3581017074408	17.9544689714343	15.4120405145517	19.3794122136863	19.3687963082371	12.4486325677306	12.6595499968799	13.1500645790815	17.9141515162468	12.8376279331714	19.0345625626475	12.7163907894977	17.5656971268492
C18	14.4120405145517	12.813781191217	19.9459238623012	13.0768155970508	16.9992072861995	9.32418054661874	12.0327345285867	17.7471439981867	15.9680367363935	16.0888710356431	18.7206717868256	15.4512111118323	14.7099453802325	23.7076725573973	12.1324997296285	9.59058704991504	8.80413102118332	12.9729797860663	13.5142209093581	15.18688801003	14.3512153218556	12.3608470841797	11.7813597135247	17.340823716009	10.9439799143437	12.5507467853832	14.103287808412	17.3494885771361	15.0318734751199	19.7306558753982	18.9141515162468	12.5386739530827	13.0447356260569	12.3553510964248	17.9992072861995	12.6816776552097	18.4128675108717	12.5555477716471	16.6522848118453
C19	16.4924791302041	11.769011321097	19.0345625626475	14.0784844174114	15.7757131503835	10.3442959079158	11.2585660338899	17.0532471259124	15.8312082629752	15.2695650328392	18.0899055964913	14.5745935273376	14.1114617398577	23.5403778119997	11.9729797860663	7.96000193206808	10.5507467853832	12.1548181090521	13.3853231761759	14.4576373809918	14.2212850178105	11.6393407086522	11.3106127816595	16.2437690319619	10.0498485494506	11.6073303137496	13.2333200827308	17.3321064989079	15.0101784040205	18.5165310700453	18.7859632470773	11.6706562491184	12.0967151544885	11.4767462039395	17.3056342875467	10.8297227350861	18.5242049979308	11.9366379390026	16.1791315663955
C2	17.0532471259124	11.61194694182	21.1394614209655	15.2804808103184	18.1703554289113	10.5980525001616	13.4382720561248	18.9909238469406	17.4814841229461	17.5951409047417	22.4800051940202	17.1053356370609	14.5804941287773	24.429819436852	13.5980525001616	11.5313814605163	10.9068905956085	13.8630247102369	14.6153997437255	17.0638163676226	15.7679775016039	13.8630247102369	13.2422809503024	17.1155314041668	12.7397806097733	13.5627194270493	15.194602975158	17.8237652797897	16.4350190783297	21.145693374677	19.7240074993888	13.5018371849023	13.919980595049	14.1830150008828	18.7666841845824	14.6382096266336	20.8950426932991	13.8822609290998	16.943064208162
C20	15.3546626234741	11.8217739819706	20.145693374677	16.0574841187989	16.6382096266336	9.12412131182919	12.7523806465529	17.7072512710632	16.5671836751939	16.2695650328392	21.6452643841675	16.6522848118453	14.0447356260569	24.1014935707665	13.2644426002266	9.65481601641766	8.28932559587166	13.8533095554037	14.6382096266336	14.8774758665344	15.4799065448328	12.5166849493096	13.4512111118323	17.7072512710632	11.129283016945	13.2045711442492	14.5922234213594	18.0210667201633	17.2511865035243	20.8726748802706	19.7240074993888	14.0188956211217	12.6073303137496	13.4512111118323	18.8696661303983	12.9458095849008	20.5731145984117	14.0361736125535	17.535639892993
C21 and C54	15.1437020768579	11.3987436919382	20.1580770991329	14.7418882727353	17.2877123795495	9.319672120947	12.8157835441282	18.2649923030494	17.0847253573856	16.896521622225	21.3698614209033	15.929258408637	14.2511865035243	23.5521549797761	13.127671967039	8.528585942258	9.64024493622235	13.8037275265531	13.6325408765469	15.600958231337	15.7179976525272	12.8552578271932	12.9125151448024	17.6592712421614	9.57175264350355	12.8077574035893	14.3512153218556	17.1556088435421	15.8581753105755	19.8920802794432	18.7504191302196	13.8237652797897	12.7056323873614	13.4893462407191	18.0899055964913	13.5507467853832	20.5544989202443	12.8917837032183	16.5552481776182
C22	18.2786672399464	12.1324997296285	19.1970054653733	17.7795654758791	17.9141515162468	9.14974711950468	13.9567391450591	18.8392283971775	18.1306912113378	17.0101784040205	21.6096404744368	16.7986742988268	14.5567455260047	23.8857648797111	14.4704046770656	11.9329528921947	9.85174904141606	15.5173003022901	14.3233362892802	16.4037443729966	16.2732128098543	13.2060986139958	12.9693865213423	20.2419086899363	13.7206717868256	14.7260052311286	16.1256556214405	17.3920490393642	17.0847253573856	20.7306558753982	19.5582413219302	16.6800298023282	14.4252159032994	14.1195896207411	18.4415177156285	14.7366133306946	20.7055648944353	14.4252159032994	19.0074434362993
C23	15.970285676897	12.5410966153495	21.7223406071862	15.5745935273376	16.1830150008828	9.95419631038687	11.5362472156881	16.3477597632194	15.600958231337	15.0318734751199	21.8575679878804	16.5264992391366	14.2511865035243	24.0019578972156	14.0275604822488	9.93369065495224	10.0498485494506	13.5507467853832	14.6494807389686	14.838613044197	13.8336807486547	11.8297227350861	11.7895336449704	18.5010596612829	12.7895336449704	11.661778097772	13.9106427304696	17.340823716009	16.6522848118453	20.8726748802706	19.8514806580015	13.1767964781476	14.2212850178105	12.0014081943928	18.4045761372404	12.1324997296285	21.1764556284477	14.5627194270493	18.0638163676226
C24	15.9476369379518	11.8649599151426	21.6583997863567	16.8484273340239	17.4415177156285	9.7797193551434	13.8435285346111	18.5878361041185	17.5203731363397	16.7731392067197	22.1394614209655	16.3512153218556	14.4704046770656	23.8950426932991	13.586370695114	10.9439799143437	9.58120058192496	13.8726748802706	14.5686686933805	15.7961410320813	15.175237650291	12.7056323873614	13.1563991448716	18.9825925723486	12.4330637651221	13.4120405145517	14.9970030152728	17.7795654758791	16.8237652797897	20.4374594990541	19.5088161049173	14.5264992391366	13.2348174311173	13.929258408637	19.0452690684889	14.2877123795494	21.145693374677	13.3853231761759	17.1849528051243
C25	14.970285676897	11.8610869059954	19.3516466853035	16.6239957674139	16.7986742988268	9.283088353024	12.9106427304696	17.6662240028032	16.2212850178105	15.9680367363935	17.6868834733693	15.0404609709566	14.9567391450591	23.2820658164083	12.6506030222153	10.3772105303886	8.78790255939143	12.5651020783603	13.5627194270493	14.970285676897	14.3581017074408	12.2963426846929	11.8649599151426	18.2372473125665	11.929258408637	12.8257538328831	14.0532471259124	17.4496000619263	15.6125229829699	19.5601088885869	18.3920490393642	12.7163907894977	12.6416002158344	12.6947931549999	17.2786672399464	12.6416002158344	18.4814841229461	12.7077904955288	17.5878361041185
C26	16.2344432396898	10.9943534368589	20.4971657451784	13.3717766443379	16.919980595049	8.8703647195834	12.2819300269554	17.8299704293164	16.4971657451784	15.7653897071148	21.8384591649327	15.3338541611942	13.7313190310251	23.2534966642115	12.3826240265749	10.5410966153495	10.661778097772	13.9476369379518	13.3303567169579	15.2732128098543	14.6438561897747	12.0119260663068	11.6573184495813	17.7273355171066	10.3442959079158	12.0701209444768	14.5447229977555	17.0101784040205	15.5386739530827	19.6293423888794	18.8081346280759	14.175237650291	13.4252159032994	12.7270695580237	17.4814841229461	12.8936807383909	20.2877123795495	12.9854861991046	16.6081970575671
C27	12.4486325677306	13.1500645790815	17.919980595049	17.4496000619263	16.0909394159844	6.39403389536778	11.8057438721516	16.7072512710632	15.5922234213594	14.5264992391366	20.9671924790549	15.5537492735448	13.3303567169579	21.7055648944353	12.8745971924016	10.3987436919382	9.47370574961941	13.2877123795495	12.7793089739599	14.0101784040205	13.4252159032994	10.9366379390026	12.1452953349336	18.98537501302	11.661778097772	11.7648715907361	13.9747730678893	16.7471439981867	15.5507467853832	19.29445921199	17.9373278386129	13.5627194270493	13.8435285346111	12.9978851278291	16.9544689714343	12.6728672764338	19.0743087414403	14.3233362892802	19.2017984765622
C28	14.8774758665344	12.0327345285867	20.3321064989079	16.2659080092311	17.3145124388932	9.55650605467193	12.3442959079158	18.4735789248608	17.2511865035243	16.3853231761759	21.8950426932991	15.8557444843207	14.4186432493759	23.29614100162	13.3717766443379	10.7895336449704	10.2877123795494	13.5507467853832	14.532599438673	15.6772791913122	15.082648042353	12.4665863377192	12.6257088430645	18.194602975158	12.9801395776392	12.4460494067165	14.7260052311286	17.4415177156285	16.1595560280588	19.9214341921905	19.5638367848237	14.2949078809537	13.0867996856235	13.7313190310251	18.86060204797	13.5018371849023	20.7553179296324	13.1147183891884	17.175237650291
C29	14.5922234213594	11.6662240028032	20.2649923030494	14.532599438673	16.1536311941017	7.55458885167764	11.9181178510318	17.194602975158	15.6153997437255	15.2841011259971	21.6885918158316	16.3303567169579	14.1984450414524	22.8423012312271	11.7813597135247	9.8073549220576	9.76818432477693	12.5142209093581	12.9218409370745	14.444756089695	13.9012440324674	11.0967151544885	11.2761244052742	16.7471439981867	12.0327345285867	10.7895336449704	13.6096404744368	16.8484273340239	14.4186432493759	20.0291793659506	17.7273355171066	13.0136716140586	13.2015113445001	12.1736771363034	17.5804941287773	12.3303567169579	20.6800298023282	12.9031286768123	16.5671836751939
C3	14.5142209093581	12.0464419480073	19.4272637319482	15.6937047392253	16.0145435965819	8.37068740680722	11.3663222142458	16.9992072861995	15.2548809870821	15.7045521214623	20.5544989202443	16.5264992391366	14.8630247102369	23.6864560714876	13.3853231761759	6.19170716168026	7.48381577726426	12.7439928610602	14.8087631164504	14.2511865035243	15.2288186904959	11.5507467853832	12.7099453802325	18.1703554289113	11.6706562491184	12.2258099406235	13.3581017074408	16.9657842846621	16.8484273340239	20.6627518108964	19.8361490042455	11.7270695580237	12.8297227350861	12.6438561897747	17.6662240028032	11.7772553151919	20.7471439981867	14.2732128098543	17.5582413219302
C30	14.3512153218556	12.6728672764338	19.9315685693242	15.4767462039395	18.0101784040205	9.211888294546	13.5980525001616	19.2672804796446	17.3145124388932	17.2511865035243	17.8846475219367	15.6494807389686	14.6038581218428	23.1472471659321	13.4512111118323	10.6073303137496	10.9872640120725	13.9567391450591	13.6772791913122	16.3477597632194	15.3091921069599	13.655083445198	10.0165864339859	19.5432131126978	12.2227949028681	13.7731392067197	15.3233362892802	18.1053356370609	15.8087631164504	19.7139771342516	19.1556088435421	13.6325408765469	13.4893462407191	13.2526654324503	17.5951409047417	13.7731392067197	18.9401988744676	13.4767462039395	18.804988072759
C31	13.8336807486547	11.8297227350861	19.8891117700813	15.3819484493952	15.7206717868256	8.89178370321831	11.5410966153495	16.86060204797	15.8702683825635	15.4317587491662	19.3100801925779	15.6125229829699	14.655083445198	23.598325161209	13.5980525001616	10.3663222142458	11.3987436919382	13.0447356260569	13.586370695114	14.8822609290998	14.2060986139958	12.5555477716471	11.4199601778479	18.7471439981867	13.7418882727353	11.1799090900149	14.4252159032994	17.2786672399464	15.2099102279458	19.9459238623012	19.7240074993888	12.5887146355823	13.8435285346111	12.0901124196643	18.3878490508349	13.0327345285867	19.5933181691349	13.3853231761759	18.0795264507113
C32	14.682775179067	10.5117526537674	21.535639892993	15.919980595049	18.6452643841675	8.7714894695006	14.0532471259124	19.1921964774509	19.0264802163496	17.4004125122988	23.1642293261145	16.7471439981867	15.1073805630459	23.7895495644518	13.4893462407191	8.24657064304416	10.8917837032183	14.9925843440058	15.5203731363397	16.5447229977555	16.5893000261526	13.4252159032994	13.0950673016071	16.5126787445497	12.004922678569	14.943064208162	16.3529400023251	17.5731145984117	16.5671836751939	20.6452643841675	20.5068809000116	14.3512153218556	12.0633950812885	15.7233409736015	20.5165310700453	15.4799065448328	21.2419086899363	13.3162815317462	15.8702683825635
