Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
SET	-0.572463379801289	-0.560900513282012	0.256933500631454	-0.437531134193892	0.152867319199031	2.07470217781002	-0.454890326684699	-0.285507686056086	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0330066490678613
CYB5B	-0.623656746239483	-0.387721829838414	0.0353317003513646	-0.396130023373142	-0.41411571840181	2.25912942706518	-0.458950684839342	-0.585127158977536	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0311499133700776
HSPA5	-0.262336238751831	-0.474527174489027	-0.709230170651742	-0.648882717660005	0.42468121144275	2.22178814734662	-0.687870473752407	0.000972485003216729	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0300807763198663
PPIF	-0.362099413553014	-0.584536414953269	-0.265982849285072	0.0497822954952476	-0.171486136105559	2.49778844351149	-0.608520431586009	-0.601624867737504	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0254325909915019
ITPR3	-0.661185855734087	-0.155763505979855	-0.442068935457571	-0.456840847402227	0.245615364480384	2.26829862004532	-0.231024740966658	-0.583103046966263	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0199036812876469
NA..1	-0.146967908958772	-0.947618583634602	-0.543612218443925	-0.0170753975053233	-0.104416628921251	2.28380387768352	-0.773259484262759	-0.429780813588209	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0173727984676367
H3F3A	0.212471928169283	-0.226122930013411	0.869736971583747	0.968115785713673	-0.0487069244259919	-2.39407170800011	0.524937802601987	0.486593541480988	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.0171714681260793
SFXN1	-0.392799717879202	-0.309411075512487	-0.422666498339099	-0.494655864359043	-0.00657955446445813	2.41898094503732	0.0387101164060437	-0.603949329832779	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0111889175049485
APLP2_APP	0.136446525774363	0.531105278191586	0.785087346782108	0.665773466100136	-0.602789435301671	-2.32445863945581	0.497648496408281	0.264812241315743	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_2h	#C2C2C2	0.00734604150902772
CCNA2	-0.823145671697832	2.31925717866676	0.0796841185968739	-0.654767003422132	-0.49256652264124	0.458672871906923	-0.163287951442823	-0.684505293174072	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.404566605190681
DHFR	-0.613883829118502	2.41369610959285	0.159712033948099	-0.793073710729731	-0.606045230080573	0.285284536311362	-0.225576367083096	-0.546146369236887	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.391759324692306
RRM2	-0.608445049420759	2.6501624416823	-0.0496196105829216	-0.474293052149651	-0.64183478912335	-0.15681773510076	-0.205299029211035	-0.394858634926487	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.389780185650237
TK1	-0.714823364075297	2.42030295086093	-0.278034949734367	-0.482254874598959	-0.578663716863197	0.39217002922551	-0.281566024378004	-0.478009361315474	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.376757560677555
PTK7	-0.554485210548927	2.42180506747977	0.154700663211079	-0.942572038232493	-0.241791432285435	-0.521265733962375	0.233022714769412	-0.64086808218993	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.288230189799787
PEG10	-1.0038465304076	2.20931921086413	0.140839731380994	-0.464391132837869	-0.7477492776562	-0.196864964795975	0.361167924608453	-0.522229990636792	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.261366909288219
PCNA	-0.86104757973753	1.91772635752982	0.514019770015786	-0.866239963934635	-0.341479614738326	0.231306982201318	-0.34315493345324	-0.301892569436659	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.220744565333118
HELLS	-0.608018960673615	2.17857325841689	0.244146468711494	-0.664155531781649	-0.527269629798641	-0.0861636948989352	-0.323972724149629	-0.522277859027385	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.197135050576673
TPX2	-0.37018352080686	2.17219432867487	0.517430765107229	-0.917403004395426	-1.02711792003622	-0.109274854423834	0.320013526789733	-0.370762521978533	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.176882095654308
KIFC1	-0.236958896980709	1.93935695072348	0.539539119281963	-1.22367575674362	-0.639080392762975	0.1666109853919	0.318250490378075	-0.611952691469985	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.169667700517753
GCC2	0.542084313103249	-2.30604573615839	-0.355487003717268	0.598351812785636	0.204335685948772	-0.367435690891904	-0.155073079186159	1.06515506594641	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.160212109502424
OPTN	0.595710000314092	-1.92329118616564	-0.577934063230686	0.62805925893999	1.00362205047756	-0.783930602877096	0.241453309406037	0.847900384738439	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Virus_10h	#CC79A7	0.131757298791466
NUSAP1	-0.797061415074233	2.14449237396529	0.28627300885825	-0.964209323781193	-0.547290442566012	-0.740372560171881	0.530582210876417	-0.293910354578766	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.104327448600285
MSH6	-0.450087827700972	1.81057121329307	0.503288166534847	-1.6053932602091	-0.549638802537357	0.693363409032225	0.00797352160728942	-0.627450363294746	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.101346581818225
TYMS	-0.170957548326752	1.9889935957125	0.134730697349302	-1.10846263615673	-0.0470218413536123	-0.307703114015626	-0.260987000580692	-0.536619220843571	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0821413504910672
CHAF1B	-0.562750111693291	1.5454347825468	0.619834114673537	-1.28633801128816	-0.219012347469069	-0.18927445506307	0.181546623700391	-0.331948648737878	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0735402093536693
IFNGR1	0.858025295776285	-1.88296447784661	-0.57283899098348	0.704561666509964	1.11335068942412	-0.566991877907619	-0.717551951983756	0.892622646321865	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Virus_10h	#CC79A7	0.0718606071142659
ATAD2	-1.10350535005806	2.30704829005807	0.321120176201946	-0.576474209530796	-0.604872316879627	0.393382925278087	-0.16294804538865	-0.577625198187311	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0440726477636272
UBE2C	-0.565206033884634	2.39298760127314	0.273896038314897	-0.148487309016414	-0.246677047236041	-1.02494224152776	0.083173393280655	-0.363726381897648	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0423609541090561
IPO8	-0.434392216023366	2.06365336972632	0.172035659310041	-1.31206148756996	0.108929371638349	0.401866027591697	-0.450537086362523	-0.415836573821923	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0378066311378695
DUT	-0.495239305049046	1.82417029677775	0.180142280913089	-1.71753407935009	-0.412345261988835	0.711941071558657	0.086671806817834	-0.175857629908277	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0334902703243432
DNAH5_HELLS	-0.318252992870658	2.12020020723275	-0.0967393910346108	-0.741759941478209	-0.203954305883477	-0.218078272834989	-0.173707184200638	-0.126236076138263	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0334323280499923
HMCES	-0.561761125882029	1.9267244743486	1.00795770559291	0.160649621395457	-0.661846692682857	-0.654004624655938	-0.325390001242716	-0.324677590862327	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0235729657271245
SMARCA5	-0.656684403388661	1.87525617839297	0.830193964113695	-0.985616976259649	-0.434615734333149	-0.0104004704901516	-0.576177662491009	-0.474570661753843	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.015136897986771
GCNT3	0.45988437568802	-1.707412046358	-0.654122031412678	0.869401247568683	0.736334477619838	-0.679535043530023	-0.348795470466856	1.45329265219568	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.0151214966567353
GDF15	-0.773852194289885	-1.22188737871809	1.35505075276685	0.397735729942388	-1.15655807958723	-0.711237430717426	1.58802569661376	0.260853042796357	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Virus_2h	black	0.359381315273589
LARP4	0.896133705593862	0.500945306542127	-1.02026895114286	-0.273501517108948	1.50092171783093	-0.0196946216485616	-1.01444958442539	-0.437232359788631	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Virus_10h	#CC79A7	-0.346225156772395
HNRNPL_HNRNPLL	-1.20840103782465	-1.08508620530284	0.919805735210248	0.180927015680344	-1.36473983109599	-0.0667477381111145	1.12090691500413	0.627397691767897	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Virus_2h	black	0.343091968624285
DDX56	1.29900623194943	0.748699432606991	-0.308693960758569	-0.968354535080743	1.09571603506461	-0.287966304688372	-1.36991127159642	-0.30354585628906	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.296570521385164
HMOX1	0.891810987575887	0.565094222957195	-1.21561122756877	0.148753560943667	0.661044123528169	-0.0689400806393552	-1.44827782064129	0.326497139220494	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.294024265444368
RPL7L1	1.02033838337023	-0.109189560600895	-1.24359133370149	-0.279888788521332	1.45491779755108	0.0318511054618955	-1.12122809203784	0.00863500288469721	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Virus_10h	#CC79A7	-0.268251563355884
FDFT1	-1.0677648562393	-0.441004118714869	1.46469125736938	0.0597092569393088	-0.649316856447198	-0.956850831786094	1.52215790924196	0.076202705478585	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Virus_2h	black	0.253450777435895
HSDL2	-1.79050389727757	-0.791023953968981	1.16173407572275	0.335975551965747	-0.523898853539485	0.717926466594335	0.83069976674507	0.0919072772711794	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_2h	#C2C2C2	0.228242957237958
EPS8L2	0.594890211603655	1.38842292665184	-1.64991256217955	-0.083431181240832	0.798605943597649	0.229335150155906	-1.23410604604057	-0.275129434119444	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.227915572665441
IGF2R	0.853068433530032	0.888036409472487	-0.97341996571067	-1.33395106649191	1.09608866439942	0.184571509957611	-0.643552205427242	-0.439354190310221	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Virus_10h	#CC79A7	-0.22539729446948
SLC7A11	0.932860208795727	1.17709623774433	-0.711033806295068	-0.975627446247678	0.849681648708896	0.041557747751881	-1.30556151616488	-0.210631642132733	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.192282457872093
SLC20A2	1.12052723495826	1.00414521295091	-0.962349474052142	-0.460645146410728	1.53396513098823	0.417028082308459	-0.880206499094536	-0.86264784797688	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Virus_10h	#CC79A7	-0.185475093041824
DDX24	0.972726763801953	0.722622627288875	-0.910963219065395	-0.899205394808821	1.02062308393047	0.71861698368936	-1.42930577784191	-0.0376946557800322	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Virus_10h	#CC79A7	-0.153510331633457
