Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
EEF1A1	1.2642682097867	-0.825999782704135	-0.412471993648884	0.992905080170429	0.211404423815187	-1.42943228212867	-0.60453408304321	0.887033882011127	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.121479856725312
SSBP1	2.17371514632536	-0.609613866041267	-0.622424802178832	0.1201008671581	-0.398147183911237	0.279288221460056	-0.711776815273859	0.445666381485954	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.106422357485614
DHX9	1.83852291432034	-0.208147733389435	-0.889750721431759	0.386736520349453	0.505314064731895	-1.25954518416509	-0.748377095537153	0.409282566314035	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.0909072218543506
PES1	1.40604873779025	-0.19740279472198	-1.12118425896996	0.67649835475695	-0.369424601987037	-0.50268557042695	-1.0561618817307	0.460649744223556	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.0902776099604392
RPS15	1.78756658596175	-0.909253674861531	-0.797386019288954	-0.0920775188908319	0.736879847103586	-0.434423374196402	-0.778628287858458	0.124777182527777	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.0868754594422578
SERBP1	1.00728533185683	-0.0153327613924536	-1.41403455008662	1.14868897270594	0.480932842683065	-0.306504141784426	-0.755221753902716	0.303628264548895	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.08417181197427
TPD52L2	1.36862021395032	-0.179982180186361	0.153472379402897	0.722737757859459	-0.114449662695245	-0.291947508190363	-1.33145317561272	0.527718094429593	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.05448616194071
CCT3	1.16756959864315	-0.321195864485559	-1.16080725598922	0.276438235283137	0.51648969565012	1.26965710636633	-1.36356501405005	0.378622118382683	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	0.0371498928401053
SMARCA1	-0.653674086516616	1.46531218062556	0.895562791735522	-0.727518455243046	-1.02055953247722	1.00721127724721	0.485269683290262	-1.10376104474125	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0315722149558228
RPL4	1.53621378713168	-0.503684546286278	-0.520174851826744	0.747838285478754	0.509066176614785	-1.64127054082361	-0.632785653007564	0.5308143384234	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.0243747173087234
RPL18	0.855215606856779	-0.401474017860032	-1.13467584810054	0.759109660686624	0.038401217033488	-0.567619703409863	-0.79521960967625	0.699385534187637	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.00389547127762544
ERP29	0.920768140858293	1.8223356026431	-0.609295246046872	-0.747499174982916	-0.577011047223149	0.30804426452661	-1.13557459340185	-0.505910593040255	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.233276022410252
NDUFB1	0.383663070695388	2.32383271758166	-0.0257703560512237	-0.215852958213972	-0.490566026175108	0.175489824673112	-1.11787586390873	-0.444960516334602	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.211700210516126
HIST1H1E	-0.348043793089385	2.67356786808694	0.0312318783173635	-0.18144774268158	-0.378008454744413	-0.645141183852812	-0.396697905016491	-0.47953886853376	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.203167008702506
HIST2H3A_HIST2H3C_HIST2H3D	-0.345191553429699	2.48871192599907	-0.0450057507449274	-0.156341440593686	-0.60839086501153	-0.458608866395657	-0.297667505468084	-0.505238405553248	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.197979299637321
GSTP1	0.617990101281858	1.67245607223331	-0.952592527892008	0.169866476906343	-0.0338870855694496	-0.614492428467981	-1.10865146606167	-0.0536478018111253	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.190440288675915
RALYL	0.228623545342373	2.04356590323958	-0.487302709893249	0.435674596064444	-0.373058603055858	-0.672236669845172	-0.910140393655594	-0.731820939420075	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.190006078457634
HIST1H1D	-0.546293492146487	2.7252968305138	-0.1581206426654	-0.217946437716388	-0.414620623397049	-0.326001175942954	-0.277693552651824	-0.515117411223611	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.188691647589507
HIST1H1C	-0.354468856980304	2.59598926707919	0.00291421868350374	-0.293037176354883	-0.525500657202748	-0.749450027782943	-0.229403749125717	-0.452521817565737	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.186700547728886
RACGAP1	-0.24207605642037	2.56783816544339	-0.561495312556313	0.0625711698425493	-0.964093357103994	0.511089239668699	-0.634588923329713	-0.294638553532796	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.18377371590499
UQCRB	0.398345521731361	2.10322336109305	-0.310095756075891	0.0362916538717393	-0.485941310375185	-0.996875770328794	-1.16220005360215	0.00712431123207438	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.174121604227944
DHFR_DHFRP1	-0.187592534214822	2.68113121952719	-0.494616340595648	-0.0861758370722133	-0.608743005570832	-0.610268333595131	-0.313396858769174	-0.830842045449526	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.173488712088844
OAT	-0.124206137474473	2.33937287113269	0.0317132823986607	-0.113357517289236	-0.54536739127068	-1.02124184884742	-0.107791270715764	-0.326982226912758	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.167466203323051
CAT	-0.494873926532649	2.24169614080405	0.0560250838025713	-0.377875777286528	-1.02877041539554	0.633959378514284	-0.180863044247673	-0.749854989635328	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.162774471474067
TTC9C	-0.220520910692708	2.03242925067692	-0.810069302217654	0.0460346707893841	-0.2334640294162	-0.0805191725492722	-1.51851828882091	0.283899606662849	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.162094461116879
RTN4	0.218952378703702	1.90016744807799	0.0013928606262971	0.265073350451915	-0.587298786844741	-0.826674665916941	-0.674475227738154	-0.221789151989653	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.159929340372919
HNRNPA3	0.431732732488511	1.60525154754104	-0.193701790514505	-0.0396908795739637	-0.956848499681211	-0.240757745339972	-1.29254050636372	-0.13467697527832	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.155559408587567
NUSAP1	-0.479386981132264	2.07632591770181	-0.214564778884072	-0.0120959224900713	-0.825391709284856	-0.36166442222237	0.0653860942817032	-0.60591458872271	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.155207282753347
TOP2A	-0.472521160515961	1.73291712627128	-0.0831840738786596	0.210868512466856	-0.48578102929263	1.25505657917515	-1.04553701945803	-0.98283248422044	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.151529143643351
UBE2C	-0.504048965779787	2.44254322934622	-0.0196227838266022	-0.0537291582560067	-0.574102001249213	-1.00220937617578	-0.176507552678675	-0.306832285299471	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.151131531375181
RAB8A	-0.0954499127091526	1.73928407615526	-0.631500002512168	-0.260080380040444	-0.883913254915157	1.13714842063134	-0.260610453586949	-0.372840293670302	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.147263385929222
ATP5I	0.778860350464322	1.52584723206109	-0.101387825450113	0.286495212342918	-0.163275324518276	-1.03987753704962	-0.723845207148009	-0.344678356285721	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.138856048004865
LDHA	0.0141512705882226	2.13719191604422	-0.750379328333727	-0.997527301451942	-0.470401706331394	-0.695638986978906	0.338522381955742	-0.900844501982933	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.13533300661748
TK1	-0.878021383350883	2.03031683829897	-0.441021276996258	0.130988298467471	-0.55032645446557	0.317819537198442	-0.704617139419959	-0.593799646161984	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.130546003771647
ACAT1	-0.190786095356152	1.79579401591708	-1.13704176050566	0.614147103430524	-0.558171584465873	0.711529404524564	-0.222072499800295	-0.237082569324123	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.130493838685549
PGAM1_LOC643576	0.500199547128128	2.06385027173819	-0.0103598172458625	0.203362608987932	-0.774228936865453	-0.701665541642266	0.548999521647211	-0.967425841228334	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.121940407439975
RHOT2	0.356627928936258	1.73417981513408	-1.00796746869503	-0.343254258943979	-0.52114532748691	-0.302830989184949	-0.813597803731801	0.0734910605580738	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.11928247873569
