index	name	annotation	Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
Q9TRI1			0.0614708202127997	-0.10298197913026198	0.861578673642012	-2.39102126228725	-0.11700284144750801	0.5734322878422939	0.801148455257885	0.0969646792736104	False	False	True	False	False	False	False	False	False	Control_2h	#C2C2C2	0.191971484790591
P18206			-0.34958407091071503	-0.9436809175542159	1.06124968979207	-1.94500606284877	0.6314148290303709	0.26683224521847504	0.8764558873664109	0.328401273612567	False	False	True	False	False	False	False	False	False	Control_2h	#C2C2C2	0.166657048509832
Q8IWJ2			0.542084313103248	-2.3060457361583997	-0.35548700371727004	0.598351812785624	0.20433568594878196	-0.36743569089189393	-0.15507307918615398	1.0651550659464	False	False	False	False	False	False	False	True	False	Virus_6h	#D55E00	0.16021210950243
P19367			0.339059936052841	0.14691417606586402	0.872323704670511	-2.37423972703888	0.0375470849443548	0.575221682504141	0.32227107696567797	0.27388445132226397	False	False	True	False	False	False	False	False	False	Control_2h	#C2C2C2	0.14900153880609
Q9H0X4			-1.19660655288168	-0.0154374192448173	1.28670185175429	-0.0764788712578689	-0.57828006675942	-0.115583209761897	0.760226572374469	0.173299515883638	False	False	True	False	False	False	False	False	False	Control_2h	#C2C2C2	0.14128978342746
Q03169			0.49154216101869797	0.3239074957636	0.496777904460689	-2.45142578794625	0.34717496062042696	-0.43612126835241793	0.32318748589451196	0.522245358210414	False	False	False	False	False	False	False	True	False	Virus_6h	#D55E00	0.136147262378811
P02647			0.646445035068237	-0.0335140280464482	0.771553105157829	0.26947328735436604	-0.12703869603743198	-2.3525713455151602	0.445447616311783	0.391091134531928	False	False	True	False	False	False	False	False	False	Control_2h	#C2C2C2	0.135389773553905
Q96CV9			0.595710000314096	-1.9232911861656397	-0.577934063230687	0.6280592589399971	1.00362205047756	-0.7839306028770942	0.24145330940603602	0.847900384738441	False	False	False	False	True	False	False	False	False	Virus_10h	#CC79A7	0.131757298791466
Q9Y5Y6			0.38649609390496	0.439924358360776	0.5183949357160871	0.738178581351703	0.36515520673142204	-2.6548413264202	0.169179594662705	0.0433662766270706	False	False	False	True	False	False	False	False	False	Control_6h	#009E73	0.13082865326128199
Q06481			0.7582184684296759	-0.167229782510965	0.36913903614119997	0.593647962699578	0.221150156865452	-2.4836814877831404	0.0647340381191728	0.33955902069250204	True	False	False	False	False	False	False	False	False	Control_10h	#388ECC	0.11100859734708501
Q92878			-1.34923175265165	-0.700315281449299	1.3542186694286698	0.52229612367182	-0.43892496872809	-0.18886703419620202	1.17614393861705	0.12639080621450302	False	False	True	False	False	False	False	False	False	Control_2h	#C2C2C2	0.101954586393955
Q96AC1			-0.0132446447673511	0.383375354422367	0.43532860731762	-2.4358977423224903	0.352746960089086	-0.35585408203232	0.460063348520039	0.428958567164439	False	False	False	False	False	False	True	False	False	Virus_2h	black	0.0922467365072433
Q7LG56			0.15159646294343	0.206382292864787	0.0644880687941062	0.9379243501886809	0.24951387999844604	-2.2046362558002404	0.46407102765018704	0.506446549072692	False	False	False	True	False	False	False	False	False	Control_6h	#009E73	0.0890729895258408
P15260	Interferon gamma receptor 1;IFNGR1;ortholog	transmembrane signal receptor(PC00197)	0.8580252957762851	-1.8829644778466001	-0.572838990983479	0.7045616665099621	1.11335068942412	-0.56699187790762	-0.717551951983755	0.8926226463218659	False	False	False	False	True	False	False	False	False	Virus_10h	#CC79A7	0.0718606071142663
O43291			0.6419766174812089	-0.17020634382996	0.67202890408923	0.439896096953637	0.536556767872011	-2.4815097424604105	0.6553169394463221	0.0893701490164619	False	False	True	False	False	False	False	False	False	Control_2h	#C2C2C2	0.0625464722416899
